amount_due,due_in_30_days,due_in_60_days,due_in_90_days,due_in_120_days,due_in_150_days,due_in_180_days,due_in_210_days,card_number,data_pull_date
536689,580883,919007,939819,659113,658877,696428,1123042,0,2025-02-18
56594,30379,138644,73026,64151,15816,49889,16535,1,2025-02-18
175820,14666,204286,177029,69987,68298,16104,56094,2,2025-02-18
139089,14666,269044,221722,120687,75951,161460,19159,3,2025-02-18
459774,792184,992166,1159526,499223,923930,796534,603135,4,2025-02-18
436734,734636,700855,2136636,747852,2204382,506225,581293,5,2025-02-18
612977,657366,788452,892519,707272,1939985,655465,751643,6,2025-02-18
69683,135779,219092,131907,80102,15816,197183,194664,7,2025-02-18
433891,157363,188643,213468,106001,1620854,127879,1068182,8,2025-02-18
100583,102204,116384,209381,170233,35751,102936,58450,9,2025-02-18
14379,57102,217376,225927,23746,38010,16104,78318,10,2025-02-18
800862,128342,823464,793560,903883,1476682,281184,74510,11,2025-02-18
179762,15371,160734,246748,15529,66576,62661,93922,12,2025-02-18
156754,18789,612541,282835,15529,15816,70711,93335,13,2025-02-18
193116,21853,170914,282515,217232,20091,16104,16535,14,2025-02-18
119866,34476,212224,179132,89956,217274,107905,140017,15,2025-02-18
17893,23089,72933,101631,35087,17325,127658,82127,16,2025-02-18
635565,681322,665737,624743,628188,309780,87958,737489,17,2025-02-18
112782,66950,159461,157214,136012,122779,145326,196892,18,2025-02-18
62320,103130,192751,226090,23987,114975,1632259,104668,19,2025-02-18
685908,447861,796383,815848,299356,692735,1275595,584863,20,2025-02-18
72674,31513,157511,152221,73666,15816,141117,164202,21,2025-02-18
46303,108386,90404,200636,141088,125732,86518,76843,22,2025-02-18
129580,103940,124210,227761,31280,177884,150737,130147,23,2025-02-18
108632,93103,108356,72435,71442,33657,77106,289370,24,2025-02-18
173568,38006,24905,112082,85957,123823,142903,100482,25,2025-02-18
154809,14666,267825,258615,111765,66681,153499,51114,26,2025-02-18
527872,921491,1010211,1269592,575372,397771,799368,485872,27,2025-02-18
53769,14666,51458,173915,19213,43851,111276,16535,28,2025-02-18
139367,47620,2156107,218370,134153,176634,210161,27497,29,2025-02-18
198532,76897,89582,161128,35152,15816,228992,152525,30,2025-02-18
152195,14666,244841,137486,164440,101161,157802,94489,31,2025-02-18
513495,648471,602303,1339716,499944,935138,870105,970023,32,2025-02-18
250767,302101,568458,990830,411516,688476,674721,726076,33,2025-02-18
492420,818511,597261,1057848,519738,135683,2095768,2061890,34,2025-02-18
14379,154750,172648,114907,39541,112540,191680,16535,35,2025-02-18
77974,200447,55543,244965,15529,15816,73081,150515,36,2025-02-18
256625,1713184,800072,2142870,158271,804212,148378,946517,37,2025-02-18
137252,88101,168986,157099,97838,78354,203074,211907,38,2025-02-18
131836,14666,178194,195700,141681,21750,25026,260848,39,2025-02-18
70723,62232,214933,201860,91304,212294,96404,37967,40,2025-02-18
924043,486471,902819,1062574,661659,726446,469814,516172,41,2025-02-18
823903,796961,991125,821734,636866,681604,1013385,562029,42,2025-02-18
601384,1612257,748206,2178255,125253,654563,658406,2097075,43,2025-02-18
14379,21285,206410,235768,15529,45984,16104,46442,44,2025-02-18
54396,90992,21449,150254,19910,102458,57586,19620,45,2025-02-18
98124,141437,237383,161276,226137,191385,285137,57276,46,2025-02-18
131998,76967,183507,249543,75349,65844,90820,16535,47,2025-02-18
58357,30409,194496,141182,15529,15816,138169,29563,48,2025-02-18
822404,484579,991410,1096113,528425,395424,696316,504607,49,2025-02-18
106264,104965,74642,1782135,546048,80035,182677,30537,50,2025-02-18
591331,489260,967549,976480,610954,674544,835672,1013751,51,2025-02-18
706650,259182,1092780,910542,660440,810808,784593,516959,52,2025-02-18
178396,37857,234848,183690,15529,1788538,314408,28576,53,2025-02-18
1383409,266684,617615,1868460,49219,1802320,139926,1020437,54,2025-02-18
14379,14666,268506,235949,56150,15816,16104,16535,55,2025-02-18
149336,107219,208182,15241,113582,15816,73949,65101,56,2025-02-18
200749,14666,14954,176530,88501,128955,109654,159653,57,2025-02-18
144082,61010,136856,144441,91266,26144,210804,68775,58,2025-02-18
231551,28739,149401,173282,161731,105421,39320,122863,59,2025-02-18
432233,759766,1881866,1026173,637230,408706,426489,627979,60,2025-02-18
528369,600917,838478,798057,444800,836442,680760,340037,61,2025-02-18
147852,14666,129284,165688,15529,15816,16104,16535,62,2025-02-18
129999,162438,114222,179800,124891,15816,103576,120758,63,2025-02-18
601535,563318,970413,935493,722727,709856,422868,403909,64,2025-02-18
14379,14666,109485,88341,15529,15816,18220,65014,65,2025-02-18
150193,44608,145649,245804,38361,15816,159567,18137,66,2025-02-18
161628,64571,165822,110977,134570,111992,259533,163802,67,2025-02-18
577720,538817,1189672,1137278,385588,513752,834349,406714,68,2025-02-18
1618914,513218,1015117,828514,759851,58305,193767,209687,69,2025-02-18
679054,477168,1911868,109359,160497,15816,124678,240662,70,2025-02-18
